shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue,centroid_count,max_advance_y,max_advance_y_norm,center_approach,center_approach_norm,x_ref,y_ref,x_center,d_ref_center,d_min_center,z_maxadv,z_center,center_factor,approach_score
69.0,8360.0,8730.0,334.4,349.2,14.8,0.716021,2.054127,28.0,170,57.0,0.15833333333333333,20.0,0.03125,340.0,279.0,320.0,20.0,0.0,-0.4791289,-1.1858513,0.23400176,-0.112117
140.0,16985.0,17132.0,679.4,685.28,5.88,0.712085,3.310663,27.0,52,67.0,0.18611111111111112,195.5,0.30546875,516.5,263.0,320.0,196.5,1.0,-0.17588273,1.7461983,0.8514726,-0.14975932
140.0,16985.0,17132.0,679.4,685.28,5.88,0.712085,3.310663,27.0,52,67.0,0.18611111111111112,195.5,0.30546875,516.5,263.0,320.0,196.5,1.0,-0.17588273,1.7461983,0.8514726,-0.14975932
112.0,14368.0,14647.0,574.72,585.88,11.16,0.649775,1.59244,34.0,125,66.0,0.18333333333333332,188.0,0.29375,508.0,254.0,320.0,188.0,0.0,-0.20620726,1.620897,0.8349188,-0.17216632
112.0,14368.0,14647.0,574.72,585.88,11.16,0.649775,1.59244,34.0,125,66.0,0.18333333333333332,188.0,0.29375,508.0,254.0,320.0,188.0,0.0,-0.20620726,1.620897,0.8349188,-0.17216632
25.0,2867.0,3123.0,114.68,124.92,10.24,0.5729,1.151744,36.0,115,55.0,0.1527777777777778,47.0,0.0734375,273.0,247.0,320.0,47.0,0.0,-0.5397781,-0.7347668,0.32414955,-0.17496884
25.0,2867.0,3123.0,114.68,124.92,10.24,0.5729,1.151744,36.0,115,55.0,0.1527777777777778,47.0,0.0734375,273.0,247.0,320.0,47.0,0.0,-0.5397781,-0.7347668,0.32414955,-0.17496884
92.0,11613.0,11943.0,464.52,477.72,13.2,0.667635,1.027885,30.0,139,54.0,0.15,46.0,0.071875,367.0,246.0,320.0,47.0,1.0,-0.5701027,-0.7514736,0.32050028,-0.18271807
92.0,11613.0,11943.0,464.52,477.72,13.2,0.667635,1.027885,30.0,139,54.0,0.15,46.0,0.071875,367.0,246.0,320.0,47.0,1.0,-0.5701027,-0.7514736,0.32050028,-0.18271807
31.0,3633.0,4280.0,145.32,171.2,25.88,0.589201,1.363471,35.0,301,39.0,0.10833333333333334,8.0,0.0125,328.0,261.0,320.0,8.0,0.0,-1.024972,-1.3863333,0.19999376,-0.204988
